fecha,dispositivos_android,dispositivos_ios,cuentas_pago,cuentas_cobro,diferencia_pago_cobro,cuentas_bbva,cuentas_bancoppel,cuentas_azteca,cuentas_otros,cuentas_stp,monto_bbva,monto_bancoppel,monto_azteca,monto_otros,monto_stp,operaciones_bbva,operaciones_bancoppel,operaciones_azteca,operaciones_otros,operaciones_stp,tasa_activacion_total,ops_por_cuenta_bbva,monto_por_operacion_bbva,ops_por_cuenta_bancoppel,monto_por_operacion_bancoppel,ops_por_cuenta_azteca,monto_por_operacion_azteca,ops_por_cuenta_otros,monto_por_operacion_otros,ops_por_cuenta_stp,monto_por_operacion_stp,dispositivos_totales,proporcion_android,delta_cuentas_pago,delta_cuentas_cobro,delta_dispositivos_android,delta_dispositivos_ios,cuentas_total,cuentas_bbva_scaling,cuentas_bancoppel_scaling,cuentas_azteca_scaling,cuentas_otros_scaling,cuentas_stp_scaling,monto_bbva_scaling,monto_bancoppel_scaling,monto_azteca_scaling,monto_otros_scaling,monto_stp_scaling,operaciones_bbva_scaling,operaciones_bancoppel_scaling,operaciones_azteca_scaling,operaciones_otros_scaling,operaciones_stp_scaling
2022-07-01,13988821.0,4924567.0,1001952.0,728487.0,273465.0,205724.0,20792.0,11159.0,31889.0,28515.0,30530906.5,34794462.5,10827962.0,97752379.0,21597790.5,48188.5,48184.5,19752.5,116472.0,15241.5,3.3613639337222683,0.23423859151095644,633.5724602342883,2.3174538283955366,722.1090288370741,1.7700958867282015,548.1818503986838,3.6524193295493745,839.2779294594409,0.5345081536033667,1417.038382049011,18913388.0,0.7396253384110768,0.03804374289677814,0.02192298897818512,0.020211219754004084,0.03013078477138298,298079.0,0.49283379709376796,0.09021706893386247,0.5712087536330996,0.3319640031329422,0.48164573303160546,0.28844484616574123,0.20608498788001606,0.22770089539467286,0.4617046131096897,0.16532640834324627,0.3852807692503164,0.3056651489680793,0.40727831351742116,0.6916659031563517,0.18745269349711297
2022-08-01,14312589.0,5068063.0,1039880.0,743327.0,296553.0,194240.0,30722.0,11988.0,31572.0,31066.0,31199960.5,36904203.0,12416593.0,97530501.0,26798215.0,50924.0,52053.5,22066.0,121852.5,17843.0,3.4710335527457707,0.26217051070840197,612.6769401461,1.6943395612264827,708.9667937794769,1.840674007340674,562.7024834587147,3.859511592550361,800.3980304056133,0.5743578188373141,1501.8895365129183,19380652.0,0.73849883894515,0.037854108779662,0.020370988089011943,0.023144766810583972,0.029138805503103216,299588.0,0.4611324588136567,0.16033725479119296,0.6420755684732432,0.3268969485781877,0.4945602924127596,0.29667293426662084,0.22930138821493895,0.28668120565193056,0.4588553609119025,0.21532541998193147,0.41308579356891284,0.3435896430549361,0.46701005641402993,0.7532869119061798,0.22495909113845577
2022-09-01,14629420.0,5207742.0,1078556.0,758795.0,319761.0,215625.0,33239.0,12693.0,31975.0,34237.0,34376788.5,36978262.5,13205502.0,95611754.0,29260440.5,51890.5,52060.5,22048.5,121468.0,19941.5,3.290597951606162,0.24065159420289856,662.4871315558725,1.5662474803694455,710.2940329040251,1.7370597967383596,598.9297231104157,3.7988428459734167,787.1353278229657,0.5824546543213482,1467.3139182107666,19837162.0,0.7374754513775711,0.03719275300996272,0.020809145907521254,0.02213652610299932,0.027560628192664582,327769.0,0.520165297469193,0.17811092123660088,0.7023422807317491,0.3333386614664087,0.5106136314161465,0.33574185944357376,0.2301163675930209,0.31597063635342315,0.43421572062874036,0.2389982646567397,0.4229097950326026,0.3436582580610379,0.4665582277990783,0.7488833661642769,0.25521362715627544
2022-10-01,14942585.0,5370886.0,1122059.0,776683.0,345376.0,210619.0,28494.0,12786.0,31742.0,39623.0,37901456.0,40901452.5,14047036.0,101161067.0,31195612.5,57202.5,56391.0,24484.5,130569.0,21852.0,3.4710298703227083,0.27159230648706906,662.583908045977,1.9790482206780375,725.3188008724796,1.914946034725481,573.7113684167534,4.113445907630269,774.7709410350083,0.5514978674002473,1427.5861477210324,20313471.0,0.735599789912812,0.04033448425487407,0.0235742196508939,0.02140652192636483,0.0313272047655202,323264.0,0.5063463407093327,0.14460434702783623,0.7102923576679775,0.329614296446668,0.5378805137473485,0.379088547029788,0.27328866751804304,0.34721384916497666,0.5054773701003358,0.2576038010607117,0.4769036861605078,0.3861064414787514,0.5294527710003485,0.8531139768198268,0.2827577258277286
2022-11-01,15241582.0,5539329.0,1164734.0,793625.0,371109.0,214090.0,25582.0,13026.0,31468.0,36604.0,41911625.5,48136105.5,15544908.0,103662557.0,34601541.0,57603.5,58773.5,26204.0,128213.5,22700.0,3.631056520248153,0.26906207669671633,727.5881760656905,2.297455241967008,819.0103618127217,2.0116689697528023,593.2265303007174,4.074408923350705,808.5151485607989,0.6201508031909081,1524.296960352423,20780911.0,0.7334414742452822,0.038032759418176854,0.021813275171466362,0.020009723886462716,0.031362237068520926,320770.0,0.515927962545824,0.12404140833533406,0.7308086852453411,0.3252345710586468,0.5225966820061864,0.4284059832090205,0.3529015868947393,0.4028245953267091,0.5376003200108382,0.29034979299118385,0.480979655727957,0.40946004891269716,0.5738481597665982,0.8261372486142289,0.2949835283262328
2022-12-01,15548774.0,5717516.0,1211521.0,810947.0,400574.0,188227.0,23492.0,12436.0,31427.0,32671.0,54435585.5,56116724.5,17581444.5,126537809.0,44786722.5,64156.0,62484.5,27880.0,143394.5,26638.0,4.2029779395184095,0.34084376842854636,848.4878343412931,2.659820364379363,898.090318398963,2.2418784174975874,630.6113522238163,4.56278041174786,882.4453448354017,0.8153408221358391,1681.309501464074,21266290.0,0.7311465234415594,0.04016968681261135,0.02182642935895407,0.02015486318939863,0.03216761452515282,288253.0,0.444533699924915,0.1092829804962786,0.6803727132843221,0.32457921069036616,0.50268568159612,0.5824268040275073,0.4407234046133129,0.4784340695345205,0.8313534728062218,0.3882743005694827,0.5475826247820982,0.44583580429039826,0.6171204316899681,1.0,0.3517585404006545
2023-01-01,15859693.0,5901818.0,1255790.0,825482.0,430308.0,225886.0,27542.0,11771.0,31520.0,34111.0,51749737.0,52332677.0,17049138.0,106589600.5,43969837.0,65231.0,65182.5,27146.5,129784.5,28305.5,3.7958770365444487,0.2887784103485829,793.3304257178336,2.366658194757098,802.8639128600468,2.3062186730099397,628.041847015269,4.1175285532994925,821.2814357646714,0.8298056345460408,1553.4025896027274,21761511.0,0.7287955785790794,0.03654001870376167,0.017923489451221908,0.019996367559268702,0.032234627764924584,330830.0,0.5484905702044963,0.13788184783990282,0.623525388955377,0.3260657598184172,0.5099757503961444,0.5493959902462351,0.3990822825670877,0.45867139178118765,0.575188026432356,0.38042042871306536,0.5585094758669058,0.472281988070791,0.5981823580289944,0.8441293691877778,0.37579925462972974
2023-02-01,16119170.0,6058867.0,1293119.0,838003.0,455116.0,205745.0,22042.0,10922.0,26209.0,29300.0,51553025.5,51933674.5,16430019.0,97507335.0,46672510.5,59289.5,59708.0,25138.0,120087.0,27958.0,4.395104990177352,0.28816982186687407,869.5135816628576,2.7088285999455586,869.794240302807,2.3015931148141364,653.5929270427241,4.581899347552367,811.9724449773914,0.9541979522184301,1669.3794441662494,22178037.0,0.7268077873618842,0.029725511431051288,0.015168107844871326,0.016360783276195834,0.026610275003397188,294218.0,0.49289176714809424,0.09904387984238844,0.5509488801504531,0.2411726155272454,0.48561983303717426,0.5469768139877325,0.3946915047559611,0.43568566966814626,0.45855787411098514,0.4064050389659526,0.49811702403399005,0.4186201522272921,0.5463253424215432,0.7330672499885473,0.37078927070492995
2023-03-01,16424635.0,6234730.0,1338091.0,853232.0,484859.0,230674.0,24351.0,12108.0,28150.0,36087.0,62121343.0,69492533.0,19611105.5,113668275.5,73519327.5,71303.5,75263.5,28260.0,135222.5,32790.0,4.038057156652684,0.30910939247596175,871.2243157769254,3.09077655948421,923.323164614986,2.3339940535183348,693.9527777777778,4.803641207815275,840.6017896429958,0.9086374594729404,2242.1264867337604,22659365.0,0.7248497475547087,0.03477792840411431,0.018172965967902188,0.01895041742223702,0.029025723786311852,331370.0,0.561707742590875,0.11534876495261767,0.652333732261925,0.2721983344256006,0.5199793448050666,0.6769469620894812,0.5879159740024225,0.5537882804853681,0.6660890184242195,0.6645213361345109,0.6202334788552726,0.5710973990011615,0.6269315673289183,0.9064089055843145,0.44045327739452
2023-04-01,16711362.0,6400527.0,1377676.0,867742.0,509934.0,215433.0,21960.0,11896.0,25624.0,34084.0,54804842.5,58579640.0,18988950.0,110340979.0,61787399.5,63752.5,65243.0,24594.0,119929.5,32347.5,4.45854166868934,0.29592727205209973,859.6500921532489,2.970992714025501,897.8685836028386,2.0674176193678546,772.096852890949,4.680358257883235,920.0486869369088,0.9490523412744983,1910.113594559085,23111889.0,0.7230634415040674,0.029583189783056518,0.017005925703677205,0.01745713070640531,0.026592490773457822,308997.0,0.5196352855439248,0.09846484104678915,0.6342109762352538,0.2318217419798277,0.5098390616061439,0.586967960836773,0.46782627922708026,0.5306898237523323,0.6233614525307359,0.5517257740383366,0.5434812439330565,0.4728750177663855,0.532279927191046,0.7312634568693024,0.4340736575766095
