fecha,banco,monto,cuentas,operaciones,dispositivos_android,dispositivos_ios
2021-11-01,bancoppel,25662839.0,72324.0,36089.5,11383238.0,3715522.0
2021-12-01,bancoppel,31927402.0,72757.0,40570.5,11800314.0,3885700.0
2022-01-01,bancoppel,29590542.0,91002.0,39572.5,12088216.0,4051653.0
2022-02-01,bancoppel,28515035.5,30420.0,38302.5,12379124.0,4189027.0
2022-03-01,bancoppel,30239511.0,29491.0,43687.5,12832731.0,4340792.0
2022-04-01,bancoppel,29469415.5,32569.0,40580.5,13135106.0,4482829.0
2022-05-01,bancoppel,30617392.0,26088.0,42619.0,13398955.0,4626078.0
2022-06-01,bancoppel,30556896.0,21313.0,41110.5,13711691.0,4780526.0
2022-07-01,bancoppel,34794462.5,20792.0,48184.5,13988821.0,4924567.0
2022-08-01,bancoppel,36904203.0,30722.0,52053.5,14312589.0,5068063.0
2022-09-01,bancoppel,36978262.5,33239.0,52060.5,14629420.0,5207742.0
2022-10-01,bancoppel,40901452.5,28494.0,56391.0,14942585.0,5370886.0
2022-11-01,bancoppel,48136105.5,25582.0,58773.5,15241582.0,5539329.0
2022-12-01,bancoppel,56116724.5,23492.0,62484.5,15548774.0,5717516.0
2023-01-01,bancoppel,52332677.0,27542.0,65182.5,15859693.0,5901818.0
2023-02-01,bancoppel,51933674.5,22042.0,59708.0,16119170.0,6058867.0
2023-03-01,bancoppel,69492533.0,24351.0,75263.5,16424635.0,6234730.0
2023-04-01,bancoppel,58579640.0,21960.0,65243.0,16711362.0,6400527.0
2023-05-01,bancoppel,68383206.0,20152.0,71362.5,17018006.0,6503404.0
2023-06-01,bancoppel,59978949.5,17447.0,67143.5,17335498.0,6529526.0
2023-07-01,bancoppel,61844497.5,17116.0,67191.0,17646067.0,6707819.0
2023-08-01,bancoppel,68451563.0,17714.0,77169.0,17941069.0,6904966.0
2023-09-01,bancoppel,68381737.5,16339.0,76054.5,18227346.0,7046289.0
2023-10-01,bancoppel,69998589.5,22801.0,72538.5,18452822.0,7133646.0
2023-11-01,bancoppel,79359439.5,17223.0,73070.5,18672046.0,7219981.0
